customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineBackup,StreamingTV,StreamingMovies,Contract,PaperlessBilling,MonthlyCharges,TotalCharges,numAdminTickets,numTechTickets,Churn,ln_TotalCharges,gender_encoded,Partner_encoded,PhoneService_encoded,StreamingMovies_encoded,PaperlessBilling_encoded,Churn_encoded,OnlineSecurity_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,calls_count,InternetService_DSL,InternetService_Fiber optic,InternetService_No,DeviceProtection_No,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No,TechSupport_No internet service,TechSupport_Yes,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
9763-GRSKD,Male,0,Yes,Yes,13,Yes,No,No,No,No,Month-to-month,Yes,49.95,587.45,1,0,No,6.377491961323671,1,1,1,0,1,0,0,0,1,1.0,1,0,0,1,0,0,1,0,0,0,0,0,1
7469-LKBCI,Male,0,No,No,16,Yes,No,No internet service,No internet service,No internet service,Two year,No,18.95,326.8,0,0,No,5.792403666309729,1,0,1,1,0,0,0,1,0,1.0,0,0,1,0,1,0,0,1,0,0,1,0,0
8091-TTVAX,Male,0,Yes,No,58,Yes,Yes,No,Yes,Yes,One year,No,100.35,5681.1,0,0,No,8.645076161696084,1,1,1,2,0,0,1,0,0,1.0,0,1,0,0,0,1,1,0,0,0,1,0,0
0280-XJGEX,Male,0,No,No,49,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,103.7,5036.3,5,4,Yes,8.524625503233533,1,0,1,2,1,1,1,0,0,2.0,0,1,0,0,0,1,1,0,0,1,0,0,0
5129-JLPIS,Male,0,No,No,25,Yes,No,No,Yes,Yes,Month-to-month,Yes,105.5,2686.05,0,0,No,7.8961992165555,1,0,1,2,1,0,0,0,1,0.0,0,1,0,0,0,1,0,0,1,0,0,1,0
3655-SNQYZ,Female,0,Yes,Yes,69,Yes,Yes,Yes,Yes,Yes,Two year,No,113.25,7895.15,0,0,No,8.974130577893364,0,1,1,2,0,0,0,0,1,0.0,0,1,0,0,0,1,0,0,1,0,1,0,0
8191-XWSZG,Female,0,No,No,52,Yes,No,No internet service,No internet service,No internet service,One year,No,20.65,1022.95,0,0,No,6.931422976282321,0,0,1,1,0,0,0,1,0,1.0,0,0,1,0,1,0,0,1,0,0,0,0,1
9959-WOFKT,Male,0,No,Yes,71,Yes,Yes,No,Yes,Yes,Two year,No,106.7,7382.25,0,4,No,8.906969200059761,1,0,1,2,0,0,0,0,1,1.0,0,1,0,0,0,1,1,0,0,1,0,0,0
4190-MFLUW,Female,0,Yes,Yes,10,Yes,No,No,No,No,Month-to-month,No,55.2,528.35,0,0,Yes,6.271649838789389,0,1,1,0,0,1,1,0,0,5.0,1,0,0,0,0,1,0,0,1,0,1,0,0
4183-MYFRB,Female,0,No,No,21,Yes,No,Yes,No,Yes,Month-to-month,Yes,90.05,1862.9,0,0,No,7.530426345737758,0,0,1,2,1,0,1,0,0,0.0,0,1,0,0,0,1,1,0,0,0,0,1,0
8779-QRDMV,Male,1,No,No,1,No,No phone service,No,No,Yes,Month-to-month,Yes,39.65,39.65,0,0,Yes,3.7049988359938197,1,0,0,2,1,1,1,0,0,1.0,1,0,0,0,0,1,1,0,0,0,0,1,0
1066-JKSGK,Male,0,No,No,1,Yes,No,No internet service,No internet service,No internet service,Month-to-month,No,20.15,20.15,4,0,Yes,3.0516399054922867,1,0,1,1,0,1,0,1,0,2.0,0,0,1,0,1,0,0,1,0,0,0,0,1
3638-WEABW,Female,0,Yes,No,58,Yes,Yes,Yes,No,No,Two year,Yes,59.9,3505.1,1,0,No,8.16225958760722,0,1,1,0,1,0,1,0,0,0.0,1,0,0,1,0,0,0,0,1,0,1,0,0
6322-HRPFA,Male,0,Yes,Yes,49,Yes,No,Yes,No,No,Month-to-month,No,59.6,2970.3,0,3,No,7.996754846467186,1,1,1,0,0,0,0,0,1,1.0,1,0,0,1,0,0,0,0,1,0,1,0,0
6865-JZNKO,Female,0,No,No,30,Yes,No,Yes,No,No,Month-to-month,Yes,55.3,1530.6,0,0,No,7.3340682196031395,0,0,1,0,1,0,0,0,1,1.0,1,0,0,1,0,0,1,0,0,1,0,0,0
6467-CHFZW,Male,0,Yes,Yes,47,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,99.35,4749.15,0,4,Yes,8.46593147547745,1,1,1,2,1,1,1,0,0,2.0,0,1,0,1,0,0,1,0,0,0,0,1,0
8665-UTDHZ,Male,0,Yes,Yes,1,No,No phone service,Yes,No,No,Month-to-month,No,30.2,30.2,0,0,Yes,3.4404180948154366,1,1,0,0,0,1,1,0,0,1.0,1,0,0,1,0,0,1,0,0,0,0,1,0
5248-YGIJN,Male,0,Yes,No,72,Yes,Yes,Yes,Yes,Yes,Two year,Yes,90.25,6369.45,1,0,No,8.759425389713137,1,1,1,2,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0,1,0,1,0,0
8773-HHUOZ,Female,0,No,Yes,17,Yes,No,No,Yes,Yes,Month-to-month,Yes,64.7,1093.1,0,0,Yes,6.9976873864827445,0,0,1,2,1,1,1,0,0,1.0,1,0,0,1,0,0,1,0,0,0,0,0,1
3841-NFECX,Female,1,Yes,No,71,Yes,Yes,Yes,No,No,Two year,Yes,96.35,6766.95,0,0,No,8.819953513551914,0,1,1,0,1,0,0,0,1,0.0,0,1,0,0,0,1,0,0,1,0,1,0,0
4929-XIHVW,Male,1,Yes,No,2,Yes,No,No,Yes,Yes,Month-to-month,Yes,95.5,181.65,0,0,No,5.207571753241291,1,1,1,2,1,0,1,0,0,0.0,0,1,0,0,0,1,1,0,0,0,1,0,0
6827-IEAUQ,Female,0,Yes,Yes,27,Yes,No,Yes,No,No,One year,No,66.15,1874.45,0,0,No,7.536603909609118,0,1,1,0,0,0,0,0,1,1.0,1,0,0,0,0,1,0,0,1,0,0,0,1
3413-BMNZE,Male,1,No,No,1,Yes,No,No,No,No,Month-to-month,No,45.25,45.25,0,0,No,3.834061463958434,1,0,1,0,0,0,1,0,0,0.0,1,0,0,1,0,0,1,0,0,1,0,0,0
6234-RAAPL,Female,0,Yes,Yes,72,Yes,Yes,Yes,Yes,No,Two year,No,99.9,7251.7,0,0,No,8.88912909231302,0,1,1,0,0,0,0,0,1,1.0,0,1,0,1,0,0,0,0,1,1,0,0,0
6047-YHPVI,Male,0,No,No,5,Yes,No,No,No,No,Month-to-month,Yes,69.7,316.9,0,0,Yes,5.761736867916757,1,0,1,0,1,1,1,0,0,1.0,0,1,0,1,0,0,1,0,0,0,0,1,0
6572-ADKRS,Female,0,No,No,46,Yes,No,No,No,No,Month-to-month,Yes,74.8,3548.3,3,0,No,8.174505679927726,0,0,1,0,1,0,1,0,0,1.0,0,1,0,0,0,1,1,0,0,0,1,0,0
5380-WJKOV,Male,0,No,No,34,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,106.35,3549.25,0,4,Yes,8.174773302525123,1,0,1,2,1,1,1,0,0,2.0,0,1,0,0,0,1,1,0,0,0,0,1,0
8168-UQWWF,Female,0,No,No,11,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,97.85,1105.4,0,2,Yes,7.008866780350549,0,0,1,2,1,1,1,0,0,2.0,0,1,0,0,0,1,1,0,0,1,0,0,0
8865-TNMNX,Male,0,Yes,Yes,10,Yes,No,Yes,No,No,One year,No,49.55,475.7,5,0,No,6.16688736221078,1,1,1,0,0,0,1,0,0,1.0,1,0,0,1,0,0,1,0,0,0,0,0,1
9489-DEDVP,Female,0,Yes,Yes,70,Yes,Yes,Yes,Yes,No,Two year,Yes,69.2,4872.35,0,0,No,8.491536864602452,0,1,1,0,1,0,0,0,1,1.0,1,0,0,1,0,0,1,0,0,0,1,0,0
9867-JCZSP,Female,0,Yes,Yes,17,Yes,No,No internet service,No internet service,No internet service,One year,No,20.75,418.25,0,0,No,6.038467400703318,0,1,1,1,0,0,0,1,0,1.0,0,0,1,0,1,0,0,1,0,0,0,0,1
4671-VJLCL,Female,0,No,No,63,Yes,Yes,Yes,Yes,No,Two year,Yes,79.85,4861.45,0,0,No,8.489297705097483,0,0,1,0,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0,1,0,1,0,0
4080-IIARD,Female,0,Yes,No,13,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,76.2,981.45,4,0,No,6.890049451863205,0,1,1,0,1,0,0,0,1,0.0,1,0,0,1,0,0,0,0,1,0,0,1,0
3714-NTNFO,Female,0,No,No,49,Yes,Yes,No,No,Yes,Month-to-month,Yes,84.5,3906.7,0,3,No,8.270704244607035,0,0,1,2,1,0,1,0,0,0.0,0,1,0,1,0,0,1,0,0,0,0,1,0
5948-UJZLF,Male,0,No,No,2,Yes,No,Yes,No,No,Month-to-month,No,49.25,97.0,0,0,No,4.584967478670572,1,0,1,0,0,0,1,0,0,1.0,1,0,0,1,0,0,1,0,0,0,0,0,1
7760-OYPDY,Female,0,No,No,2,Yes,No,No,Yes,No,Month-to-month,Yes,80.65,144.15,0,0,Yes,4.977767690470639,0,0,1,0,1,1,1,0,0,2.0,0,1,0,1,0,0,1,0,0,0,0,1,0
7639-LIAYI,Male,0,No,No,52,Yes,Yes,No,Yes,Yes,Two year,Yes,79.75,4217.8,1,0,No,8.347306006402459,1,0,1,2,1,0,0,0,1,1.0,1,0,0,1,0,0,0,0,1,0,1,0,0
2954-PIBKO,Female,0,Yes,Yes,69,Yes,Yes,No,No,No,Two year,Yes,64.15,4254.1,0,0,No,8.355873542493944,0,1,1,0,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0,1,0,1,0,0
8012-SOUDQ,Female,1,No,No,43,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,90.25,3838.75,0,0,No,8.253162539295738,0,0,1,0,1,0,1,0,0,1.0,0,1,0,1,0,0,1,0,0,0,0,1,0
9420-LOJKX,Female,0,No,No,15,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,99.1,1426.4,0,1,Yes,7.263609886536967,0,0,1,2,1,1,0,0,1,1.0,0,1,0,1,0,0,1,0,0,0,1,0,0
6575-SUVOI,Female,1,Yes,No,25,Yes,Yes,No,Yes,No,Month-to-month,Yes,69.5,1752.65,4,0,No,7.4694546091209375,0,1,1,0,1,0,0,0,1,1.0,1,0,0,1,0,0,0,0,1,0,1,0,0
7495-OOKFY,Female,1,Yes,No,8,Yes,Yes,Yes,No,No,Month-to-month,Yes,80.65,633.3,0,0,Yes,6.4525220286398515,0,1,1,0,1,1,1,0,0,2.0,0,1,0,1,0,0,1,0,0,0,1,0,0
4667-QONEA,Female,1,Yes,Yes,60,Yes,No,Yes,No,Yes,One year,Yes,74.85,4456.35,0,0,No,8.402309698021336,0,1,1,2,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0,1,0,1,0,0
1658-BYGOY,Male,1,No,No,18,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,95.45,1752.55,0,1,Yes,7.4693975835734765,1,0,1,2,1,1,1,0,0,2.0,0,1,0,1,0,0,1,0,0,0,0,1,0
8769-KKTPH,Female,0,Yes,Yes,63,Yes,Yes,No,Yes,Yes,One year,Yes,99.65,6311.2,0,0,No,8.750239547701803,0,1,1,2,1,0,0,0,1,1.0,0,1,0,1,0,0,1,0,0,0,1,0,0
5067-XJQFU,Male,1,Yes,Yes,66,Yes,Yes,Yes,Yes,Yes,One year,Yes,108.45,7076.35,3,0,No,8.864654822837052,1,1,1,2,1,0,1,0,0,0.0,0,1,0,0,0,1,0,0,1,0,0,1,0
3957-SQXML,Female,0,Yes,Yes,34,Yes,Yes,No internet service,No internet service,No internet service,Two year,No,24.95,894.3,0,0,No,6.7971588576401105,0,1,1,1,0,0,0,1,0,0.0,0,0,1,0,1,0,0,1,0,0,1,0,0
5954-BDFSG,Female,0,No,No,72,Yes,Yes,No,Yes,Yes,Two year,Yes,107.5,7853.7,0,0,No,8.968867357726134,0,0,1,2,1,0,1,0,0,1.0,0,1,0,0,0,1,0,0,1,0,1,0,0
0434-CSFON,Female,0,Yes,No,47,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,100.5,4707.1,0,0,No,8.457039708596394,0,1,1,2,1,0,1,0,0,0.0,0,1,0,0,0,1,1,0,0,0,0,1,0
1215-FIGMP,Male,0,No,No,60,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,89.9,5450.7,0,0,No,8.603682765623805,1,0,1,0,1,0,1,0,0,0.0,0,1,0,1,0,0,1,0,0,1,0,0,0
0526-SXDJP,Male,0,Yes,No,72,No,No phone service,Yes,No,No,Two year,No,42.1,2962.0,0,0,No,7.993957547573565,1,1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,1,1,0,0,1,0,0,0
0557-ASKVU,Female,0,Yes,Yes,18,Yes,No,No,No,No,One year,Yes,54.4,957.1,0,0,No,6.864952156656828,0,1,1,0,1,0,1,0,0,0.0,1,0,0,0,0,1,0,0,1,0,1,0,0
5698-BQJOH,Female,0,No,No,9,Yes,Yes,No,Yes,Yes,Month-to-month,No,94.4,857.25,0,0,Yes,6.754895432337801,0,0,1,2,0,1,1,0,0,2.0,0,1,0,1,0,0,1,0,0,0,0,1,0
5122-CYFXA,Female,0,No,No,3,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,75.3,244.1,0,0,No,5.501666290534067,0,0,1,2,1,0,1,0,0,0.0,1,0,0,1,0,0,0,0,1,0,0,1,0
8627-ZYGSZ,Male,0,Yes,No,47,Yes,Yes,Yes,No,No,One year,Yes,78.9,3650.35,0,3,No,8.202852241207772,1,1,1,0,1,0,1,0,0,1.0,0,1,0,1,0,0,1,0,0,0,0,1,0
3410-YOQBQ,Female,0,No,No,31,Yes,No,Yes,Yes,Yes,Two year,No,79.2,2497.2,3,0,No,7.823325751531809,0,0,1,2,0,0,1,0,0,0.0,1,0,0,0,0,1,0,0,1,0,0,0,1
3170-NMYVV,Female,0,Yes,Yes,50,Yes,No,No internet service,No internet service,No internet service,Two year,No,20.15,930.9,0,0,No,6.83722551279161,0,1,1,1,0,0,0,1,0,0.0,0,0,1,0,1,0,0,1,0,1,0,0,0
7410-OIEDU,Male,0,No,No,10,Yes,No,No,No,No,Month-to-month,Yes,79.85,887.35,0,0,No,6.789365809481915,1,0,1,0,1,0,0,0,1,1.0,0,1,0,0,0,1,1,0,0,0,0,0,1
2273-QCKXA,Male,0,No,No,1,Yes,No,No,No,No,Month-to-month,No,49.05,49.05,0,0,No,3.9130225057612296,1,0,1,0,0,0,1,0,0,0.0,1,0,0,1,0,0,0,0,1,0,0,0,1
1891-QRQSA,Male,1,Yes,Yes,64,Yes,Yes,No,Yes,Yes,Two year,Yes,111.6,7099.0,0,0,No,8.867850063029406,1,1,1,2,1,0,0,0,1,0.0,0,1,0,0,0,1,0,0,1,1,0,0,0
8028-PNXHQ,Male,0,Yes,Yes,62,Yes,Yes,No internet service,No internet service,No internet service,Two year,Yes,24.25,1424.6,0,0,No,7.262348056716545,1,1,1,1,1,0,0,1,0,1.0,0,0,1,0,1,0,0,1,0,1,0,0,0
5630-AHZIL,Female,0,No,Yes,3,Yes,No,No,No,Yes,Month-to-month,Yes,64.5,177.4,0,0,No,5.184028220145909,0,0,1,2,1,0,0,0,1,1.0,1,0,0,1,0,0,0,0,1,1,0,0,0
2673-CXQEU,Female,1,No,No,56,Yes,Yes,Yes,Yes,Yes,One year,No,110.5,6139.5,0,0,No,8.722661451050438,0,0,1,2,0,0,0,0,1,0.0,0,1,0,0,0,1,1,0,0,0,0,1,0
6416-JNVRK,Female,0,No,No,46,Yes,No,No,No,Yes,One year,No,55.65,2688.85,1,0,No,7.8972407089593375,0,0,1,2,0,0,1,0,0,1.0,1,0,0,1,0,0,1,0,0,0,1,0,0
5590-ZSKRV,Female,0,Yes,Yes,8,Yes,No,Yes,No,No,Month-to-month,No,54.65,482.25,0,0,No,6.18053411808844,0,1,1,0,0,0,0,0,1,1.0,1,0,0,1,0,0,1,0,0,0,0,0,1
0191-ZHSKZ,Male,1,No,No,30,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,74.75,2111.3,0,0,No,7.655532680193197,1,0,1,2,1,0,0,0,1,0.0,1,0,0,1,0,0,1,0,0,0,0,1,0
5919-TMRGD,Female,0,No,Yes,1,Yes,No,No,Yes,No,Month-to-month,Yes,79.35,79.35,2,0,Yes,4.386392092183521,0,0,1,0,1,1,1,0,0,2.0,0,1,0,1,0,0,1,0,0,0,0,1,0
8108-UXRQN,Female,0,Yes,Yes,11,No,No phone service,No,Yes,Yes,Month-to-month,No,50.55,565.35,0,0,No,6.339212261646723,0,1,0,2,0,0,0,0,1,1.0,1,0,0,1,0,0,1,0,0,0,0,1,0
9191-MYQKX,Female,0,Yes,No,7,Yes,No,No,No,No,Month-to-month,Yes,75.15,496.9,5,0,Yes,6.210399253648137,0,1,1,0,1,1,1,0,0,1.0,0,1,0,0,0,1,1,0,0,1,0,0,0
9919-YLNNG,Female,0,No,No,42,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,103.8,4327.5,0,0,No,8.372976340655828,0,0,1,2,1,0,1,0,0,1.0,0,1,0,0,0,1,0,0,1,1,0,0,0
0318-ZOPWS,Female,0,Yes,No,49,Yes,No,No internet service,No internet service,No internet service,Two year,Yes,20.15,973.35,0,0,No,6.881770582010144,0,1,1,1,1,0,0,1,0,0.0,0,0,1,0,1,0,0,1,0,1,0,0,0
4445-ZJNMU,Male,0,No,No,9,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,99.3,918.75,0,0,No,6.824101893984884,1,0,1,2,1,0,1,0,0,0.0,0,1,0,1,0,0,1,0,0,0,1,0,0
4808-YNLEU,Female,0,Yes,No,35,Yes,No,No,Yes,No,One year,Yes,62.15,2215.45,0,0,No,7.703662095843597,0,1,1,0,1,0,0,0,1,0.0,1,0,0,1,0,0,1,0,0,1,0,0,0
1862-QRWPE,Female,0,Yes,Yes,48,Yes,No,No internet service,No internet service,No internet service,Two year,No,20.65,1057.0,0,0,No,6.964135612418245,0,1,1,1,0,0,0,1,0,0.0,0,0,1,0,1,0,0,1,0,1,0,0,0
2796-NNUFI,Female,0,Yes,Yes,46,Yes,No,No internet service,No internet service,No internet service,Two year,Yes,19.95,927.1,0,0,No,6.833139485601347,0,1,1,1,1,0,0,1,0,0.0,0,0,1,0,1,0,0,1,0,0,0,0,1
3016-KSVCP,Male,0,Yes,No,29,No,No phone service,No,Yes,No,Month-to-month,No,33.75,1009.25,0,0,No,6.917953103958583,1,1,0,0,0,0,1,0,0,0.0,1,0,0,1,0,0,1,0,0,0,0,0,1
4767-HZZHQ,Male,0,Yes,Yes,30,Yes,No,Yes,No,No,Month-to-month,No,82.05,2570.2,0,0,No,7.852127994983248,1,1,1,0,0,0,1,0,0,0.0,0,1,0,0,0,1,1,0,0,1,0,0,0
2424-WVHPL,Male,1,No,No,1,Yes,No,No,No,No,Month-to-month,No,74.7,74.7,0,0,No,4.3267781604434035,1,0,1,0,0,0,1,0,0,0.0,0,1,0,1,0,0,0,0,1,0,0,1,0
7233-PAHHL,Male,0,Yes,Yes,66,Yes,Yes,No,Yes,Yes,Two year,Yes,84.0,5714.25,0,0,No,8.65089331980408,1,1,1,2,1,0,0,0,1,1.0,1,0,0,0,0,1,0,0,1,0,0,0,1
6067-NGCEU,Female,0,No,No,65,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,111.05,7107.0,0,0,No,8.868976189274543,0,0,1,2,1,0,0,0,1,1.0,0,1,0,0,0,1,1,0,0,0,1,0,0
9848-JQJTX,Male,0,No,No,72,Yes,Yes,Yes,Yes,Yes,Two year,Yes,100.9,7459.05,0,0,No,8.917317395588213,1,0,1,2,1,0,1,0,0,1.0,0,1,0,0,0,1,1,0,0,1,0,0,0
8637-XJIVR,Female,0,No,No,12,Yes,Yes,No,No,No,Month-to-month,Yes,78.95,927.35,0,0,Yes,6.83340881685348,0,0,1,0,1,1,0,0,1,1.0,0,1,0,1,0,0,1,0,0,0,0,1,0
9803-FTJCG,Male,0,Yes,Yes,71,Yes,Yes,Yes,No,No,One year,Yes,66.85,4748.7,0,0,No,8.465836737139407,1,1,1,0,1,0,0,0,1,1.0,1,0,0,1,0,0,0,0,1,0,1,0,0
3212-KXOCR,Male,0,No,No,52,Yes,No,No internet service,No internet service,No internet service,Two year,No,21.0,1107.2,0,0,No,7.010492356433249,1,0,1,1,0,0,0,1,0,0.0,0,0,1,0,1,0,0,1,0,1,0,0,0
4598-XLKNJ,Female,1,Yes,No,25,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,98.5,2514.5,0,1,Yes,7.830226869931373,0,1,1,2,1,1,1,0,0,2.0,0,1,0,0,0,1,1,0,0,0,0,1,0
3679-XASPY,Female,0,Yes,Yes,1,Yes,No,No internet service,No internet service,No internet service,Month-to-month,No,19.45,19.45,0,0,No,3.017982882488811,0,1,1,1,0,0,0,1,0,0.0,0,0,1,0,1,0,0,1,0,0,0,1,0
7123-WQUHX,Male,0,No,No,38,Yes,Yes,No,Yes,No,One year,No,95.0,3605.6,0,0,No,8.190520779273172,1,0,1,0,0,0,1,0,0,1.0,0,1,0,0,0,1,0,0,1,1,0,0,0
5386-THSLQ,Female,1,Yes,No,66,No,No phone service,Yes,Yes,No,One year,No,45.55,3027.25,0,0,No,8.015740173896912,0,1,0,0,0,0,1,0,0,0.0,1,0,0,0,0,1,1,0,0,1,0,0,0
3192-NQECA,Male,0,Yes,No,68,Yes,Yes,Yes,Yes,Yes,Two year,Yes,110.0,7611.85,0,6,Yes,8.937592887972736,1,1,1,2,1,1,1,0,0,2.0,0,1,0,0,0,1,0,0,1,1,0,0,0
6728-DKUCO,Female,0,Yes,Yes,72,Yes,Yes,Yes,Yes,Yes,One year,Yes,104.15,7303.05,0,0,No,8.896184267815448,0,1,1,2,1,0,0,0,1,1.0,0,1,0,1,0,0,1,0,0,0,0,1,0
9750-BOOHV,Female,0,No,No,32,No,No phone service,No,No,No,One year,No,30.15,927.65,0,0,No,6.833731918633351,0,0,0,0,0,0,0,0,1,1.0,1,0,0,1,0,0,1,0,0,0,0,0,1
8597-CWYHH,Male,0,No,No,43,Yes,Yes,No,Yes,Yes,One year,No,94.35,3921.3,0,0,No,8.274433495416885,1,0,1,2,0,0,1,0,0,1.0,0,1,0,1,0,0,1,0,0,0,0,0,1
0486-HECZI,Male,0,Yes,No,55,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,96.75,5238.9,0,5,Yes,8.564057693163521,1,1,1,0,1,1,0,0,1,2.0,0,1,0,1,0,0,1,0,0,0,0,1,0
4549-ZDQYY,Female,0,No,No,52,Yes,No,No,No,No,One year,No,57.95,3042.25,5,0,No,8.020681302289706,0,0,1,0,0,0,0,0,1,0.0,1,0,0,0,0,1,0,0,1,0,1,0,0
5712-AHQNN,Female,0,No,No,43,Yes,No,Yes,Yes,No,Month-to-month,Yes,91.65,3954.1,0,0,No,8.282761164332172,0,0,1,0,1,0,1,0,0,1.0,0,1,0,0,0,1,1,0,0,0,0,1,0
4846-WHAFZ,Female,1,Yes,No,37,Yes,Yes,No,No,No,Month-to-month,Yes,76.5,2868.15,0,0,Yes,7.961771097640099,0,1,1,0,1,1,1,0,0,2.0,0,1,0,1,0,0,1,0,0,0,0,1,0
5256-SKJGO,Female,0,Yes,Yes,64,No,No phone service,Yes,Yes,Yes,Two year,Yes,54.6,3423.5,0,0,No,8.13871075463796,0,1,0,2,1,0,1,0,0,0.0,1,0,0,1,0,0,0,0,1,0,0,1,0
3071-VBYPO,Male,0,Yes,Yes,3,Yes,No,Yes,Yes,No,Month-to-month,No,89.85,248.4,0,0,No,5.519058033245936,1,1,1,0,0,0,0,0,1,0.0,0,1,0,1,0,0,1,0,0,0,0,1,0
5299-RULOA,Female,0,Yes,Yes,10,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,100.25,1064.65,0,1,Yes,6.971340220607248,0,1,1,2,1,1,0,0,1,2.0,0,1,0,1,0,0,1,0,0,0,0,1,0
8402-OOOHJ,Female,0,No,No,41,Yes,No,No internet service,No internet service,No internet service,Two year,No,20.65,835.15,0,0,No,6.728808022827132,0,0,1,1,0,0,0,1,0,1.0,0,0,1,0,1,0,0,1,0,0,0,0,1
9445-ZUEQE,Male,0,Yes,Yes,27,Yes,Yes,Yes,No,No,Month-to-month,Yes,85.2,2151.6,0,2,No,7.674431692830198,1,1,1,0,1,0,1,0,0,1.0,0,1,0,1,0,0,0,0,1,0,1,0,0
